class	time_point	avg_expression
ENSG00000214078.12	high_expression	flat	92.1408
ENSG00000090060.17	high_expression	flat	92.9567
ENSG00000143774.16	high_expression	flat	93.25
ENSG00000115307.16	high_expression	flat	93.9838
ENSG00000120963.11	high_expression	flat	95.1725
ENSG00000163463.11	high_expression	flat	95.2767
ENSG00000214253.8	high_expression	flat	95.3275
ENSG00000031698.12	high_expression	flat	95.3921
ENSG00000187735.12	high_expression	flat	96.0008
ENSG00000115935.16	high_expression	flat	97.5075
ENSG00000137312.14	high_expression	flat	97.5713
ENSG00000003756.16	high_expression	flat	98.2037
ENSG00000142192.20	high_expression	flat	99.6504
ENSG00000158669.11	high_expression	flat	100.591
ENSG00000116489.12	high_expression	flat	101.092
ENSG00000132676.15	high_expression	flat	101.109
ENSG00000106244.12	high_expression	flat	101.224
ENSG00000182196.13	high_expression	flat	101.275
ENSG00000111481.9	high_expression	flat	101.597
ENSG00000004059.10	high_expression	flat	101.748
ENSG00000117362.12	high_expression	flat	101.798
ENSG00000170906.15	high_expression	flat	102.083
ENSG00000188243.12	high_expression	flat	102.149
ENSG00000132424.14	high_expression	flat	102.23
ENSG00000101444.12	high_expression	flat	102.244
ENSG00000105669.12	high_expression	flat	102.534
ENSG00000147649.9	high_expression	flat	102.537
ENSG00000044115.20	high_expression	flat	103.368
ENSG00000154582.16	high_expression	flat	103.399
ENSG00000254999.3	high_expression	flat	103.457
ENSG00000257103.8	high_expression	flat	103.864
ENSG00000131508.15	high_expression	flat	103.867
ENSG00000143418.19	high_expression	flat	103.919
ENSG00000130175.9	high_expression	flat	104.942
ENSG00000118816.9	high_expression	flat	105.035
ENSG00000187840.4	high_expression	flat	105.358
ENSG00000185088.13	high_expression	flat	105.822
ENSG00000140374.15	high_expression	flat	105.92
ENSG00000091527.15	high_expression	flat	106.256
ENSG00000090520.10	high_expression	flat	106.591
ENSG00000182199.10	high_expression	flat	107.101
ENSG00000167792.11	high_expression	flat	107.27
ENSG00000159352.15	high_expression	flat	107.743
ENSG00000123144.10	high_expression	flat	108.222
ENSG00000120690.14	high_expression	flat	108.658
ENSG00000169554.16	high_expression	flat	108.857
ENSG00000143222.11	high_expression	flat	109.661
ENSG00000178127.12	high_expression	flat	109.87
ENSG00000179010.14	high_expression	flat	110.237
ENSG00000136888.6	high_expression	flat	110.331
ENSG00000143612.18	high_expression	flat	110.392
ENSG00000143569.18	high_expression	flat	110.645
ENSG00000100836.10	high_expression	flat	111.25
ENSG00000165678.19	high_expression	flat	112.302
ENSG00000146112.11	high_expression	flat	113.81
ENSG00000130985.16	high_expression	flat	114.866
ENSG00000162191.13	high_expression	flat	115.672
ENSG00000103769.9	high_expression	flat	116.013
ENSG00000165672.6	high_expression	flat	116.498
ENSG00000167986.13	high_expression	flat	116.529
ENSG00000125991.18	high_expression	flat	117.756
ENSG00000244038.9	high_expression	flat	117.957
ENSG00000185825.15	high_expression	flat	118.873
ENSG00000166136.15	high_expression	flat	119.372
ENSG00000170142.11	high_expression	flat	120.208
ENSG00000188186.10	high_expression	flat	120.216
ENSG00000127483.17	high_expression	flat	120.33
ENSG00000164346.9	high_expression	flat	122.536
ENSG00000014641.17	high_expression	flat	122.755
ENSG00000146066.2	high_expression	flat	123.19
ENSG00000174021.10	high_expression	flat	124.978
ENSG00000135535.14	high_expression	flat	125.506
ENSG00000101558.13	high_expression	flat	126.116
ENSG00000134440.11	high_expression	flat	126.746
ENSG00000125970.11	high_expression	flat	127.259
ENSG00000125356.6	high_expression	flat	128.639
ENSG00000118705.16	high_expression	flat	128.791
ENSG00000204463.12	high_expression	flat	128.867
ENSG00000173113.6	high_expression	flat	129.288
ENSG00000134248.13	high_expression	flat	129.774
ENSG00000099341.11	high_expression	flat	129.928
ENSG00000089597.16	high_expression	flat	130.061
ENSG00000134825.13	high_expression	flat	130.213
ENSG00000133313.14	high_expression	flat	134.157
ENSG00000062485.18	high_expression	flat	136.664
ENSG00000060138.12	high_expression	flat	136.726
ENSG00000065518.7	high_expression	flat	136.731
ENSG00000087365.14	high_expression	flat	137.551
ENSG00000159140.17	high_expression	flat	137.573
ENSG00000110696.9	high_expression	flat	137.66
ENSG00000118363.11	high_expression	flat	138.201
ENSG00000122705.16	high_expression	flat	141.012
ENSG00000172531.14	high_expression	flat	142.268
ENSG00000100813.14	high_expression	flat	142.48
ENSG00000010256.10	high_expression	flat	146.423
ENSG00000170540.14	high_expression	flat	146.644
ENSG00000172270.18	high_expression	flat	147.34
ENSG00000125107.16	high_expression	flat	147.37
ENSG00000160014.16	high_expression	flat	148.003
ENSG00000140740.10	high_expression	flat	148.803
ENSG00000167863.11	high_expression	flat	150.048
ENSG00000204435.13	high_expression	flat	152.671
ENSG00000182149.20	high_expression	flat	155.293
ENSG00000110651.11	high_expression	flat	156.141
ENSG00000010244.16	high_expression	flat	156.418
ENSG00000176978.13	high_expression	flat	156.882
ENSG00000184007.17	high_expression	flat	160.41
ENSG00000186010.18	high_expression	flat	162.502
ENSG00000163479.13	high_expression	flat	162.684
ENSG00000165637.13	high_expression	flat	164.284
ENSG00000183291.15	high_expression	flat	164.666
ENSG00000129559.12	high_expression	flat	164.847
ENSG00000057608.16	high_expression	flat	165.907
ENSG00000106803.9	high_expression	flat	167.407
ENSG00000105401.6	high_expression	flat	167.414
ENSG00000168385.17	high_expression	flat	169.674
ENSG00000078668.13	high_expression	flat	172.938
ENSG00000215301.9	high_expression	flat	175.304
ENSG00000183283.15	high_expression	flat	175.626
ENSG00000078369.17	high_expression	flat	178.66
ENSG00000130811.11	high_expression	flat	180.126
ENSG00000183648.9	high_expression	flat	181.439
ENSG00000100201.19	high_expression	flat	182.403
ENSG00000105220.14	high_expression	flat	185.02
ENSG00000205352.10	high_expression	flat	185.243
ENSG00000104964.14	high_expression	flat	185.822
ENSG00000009307.15	high_expression	flat	192.659
ENSG00000241837.6	high_expression	flat	195.14
ENSG00000100353.17	high_expression	flat	199.099
ENSG00000172053.15	high_expression	flat	199.611
ENSG00000122545.18	high_expression	flat	201.459
ENSG00000109332.19	high_expression	flat	203.347
ENSG00000228474.5	high_expression	flat	203.735
ENSG00000115524.15	high_expression	flat	205.845
ENSG00000143761.13	high_expression	flat	211.448
ENSG00000100380.12	high_expression	flat	212.932
ENSG00000112695.11	high_expression	flat	213.757
ENSG00000127022.14	high_expression	flat	214.642
ENSG00000107223.12	high_expression	flat	221.559
ENSG00000171530.13	high_expression	flat	224.833
ENSG00000165629.19	high_expression	flat	227.162
ENSG00000165502.6	high_expression	flat	235.205
ENSG00000131051.21	high_expression	flat	240.246
ENSG00000141522.11	high_expression	flat	241.493
ENSG00000072778.19	high_expression	flat	243.832
ENSG00000169564.6	high_expression	flat	248.913
ENSG00000099622.13	high_expression	flat	253.304
ENSG00000118680.12	high_expression	flat	253.525
ENSG00000185787.14	high_expression	flat	257.451
ENSG00000169813.16	high_expression	flat	257.799
ENSG00000126267.8	high_expression	flat	258.348
ENSG00000167283.7	high_expression	flat	278.468
ENSG00000063046.17	high_expression	flat	280.622
ENSG00000173915.12	high_expression	flat	291.449
ENSG00000116459.10	high_expression	flat	294.15
ENSG00000100650.15	high_expression	flat	300.374
ENSG00000206503.11	high_expression	flat	302.315
ENSG00000169714.16	high_expression	flat	304.465
ENSG00000100129.17	high_expression	flat	321.279
ENSG00000167978.16	high_expression	flat	340.995
ENSG00000152234.15	high_expression	flat	346.903
ENSG00000067560.10	high_expression	flat	355.77
ENSG00000169020.9	high_expression	flat	388.676
ENSG00000075415.12	high_expression	flat	394.534
ENSG00000164924.17	high_expression	flat	402.824
ENSG00000156467.9	high_expression	flat	426.622
ENSG00000140264.19	high_expression	flat	432.311
ENSG00000147677.10	high_expression	flat	461.714
ENSG00000143933.16	high_expression	flat	479.954
ENSG00000197111.15	high_expression	flat	480.99
ENSG00000135390.17	high_expression	flat	481.999
ENSG00000123349.13	high_expression	flat	487.651
ENSG00000110955.8	high_expression	flat	504.189
ENSG00000131143.8	high_expression	flat	514.435
ENSG00000127184.10	high_expression	flat	537.24
ENSG00000234745.9	high_expression	flat	574.35
ENSG00000241468.7	high_expression	flat	578.937
ENSG00000150991.14	high_expression	flat	683.228
ENSG00000108654.11	high_expression	flat	690.815
ENSG00000092199.17	high_expression	flat	704.408
ENSG00000065978.17	high_expression	flat	745.942
ENSG00000145741.15	high_expression	flat	811.48
ENSG00000149925.16	high_expression	flat	866.145
ENSG00000221983.7	high_expression	flat	1294.51
ENSG00000174748.18	high_expression	flat	1642.45
ENSG00000070756.13	high_expression	flat	1760.29
ENSG00000162244.10	high_expression	flat	1829.15
ENSG00000254772.9	high_expression	flat	1863.7
ENSG00000279483.1	high_expression	flat	2221.3
ENSG00000161016.15	high_expression	flat	2786.84
ENSG00000008988.9	high_expression	flat	3288.15
ENSG00000111640.14	high_expression	flat	3595.11
ENSG00000156508.17	high_expression	flat	10096.7
ENSG00000009694.13	low_expression	flat	0.000416667
ENSG00000060718.19	low_expression	flat	0.000416667
ENSG00000065618.16	low_expression	flat	0.000416667
ENSG00000077274.8	low_expression	flat	0.000416667
ENSG00000081803.15	low_expression	flat	0.000416667
ENSG00000091138.12	low_expression	flat	0.000416667
ENSG00000108381.10	low_expression	flat	0.000416667
ENSG00000122420.9	low_expression	flat	0.000416667
ENSG00000124143.10	low_expression	flat	0.000416667
ENSG00000124440.15	low_expression	flat	0.000416667
ENSG00000124882.3	low_expression	flat	0.000416667
ENSG00000127954.12	low_expression	flat	0.000416667
ENSG00000129862.6	low_expression	flat	0.000416667
ENSG00000129864.6	low_expression	flat	0.000416667
ENSG00000130962.17	low_expression	flat	0.000416667
ENSG00000134207.14	low_expression	flat	0.000416667
ENSG00000135373.12	low_expression	flat	0.000416667
ENSG00000135903.18	low_expression	flat	0.000416667
ENSG00000138829.10	low_expression	flat	0.000416667
ENSG00000138944.7	low_expression	flat	0.000416667
ENSG00000139144.9	low_expression	flat	0.000416667
ENSG00000140403.12	low_expression	flat	0.000416667
ENSG00000141979.4	low_expression	flat	0.000416667
ENSG00000152208.11	low_expression	flat	0.000416667
ENSG00000157214.13	low_expression	flat	0.000416667
ENSG00000157542.9	low_expression	flat	0.000416667
ENSG00000158352.15	low_expression	flat	0.000416667
ENSG00000165194.14	low_expression	flat	0.000416667
ENSG00000165300.7	low_expression	flat	0.000416667
ENSG00000166573.5	low_expression	flat	0.000416667
ENSG00000171484.4	low_expression	flat	0.000416667
ENSG00000173678.14	low_expression	flat	0.000416667
ENSG00000175164.13	low_expression	flat	0.000416667
ENSG00000175311.6	low_expression	flat	0.000416667
ENSG00000175785.12	low_expression	flat	0.000416667
ENSG00000177551.5	low_expression	flat	0.000416667
ENSG00000178033.5	low_expression	flat	0.000416667
ENSG00000179813.6	low_expression	flat	0.000416667
ENSG00000181333.11	low_expression	flat	0.000416667
ENSG00000182261.3	low_expression	flat	0.000416667
ENSG00000182463.15	low_expression	flat	0.000416667
ENSG00000182836.9	low_expression	flat	0.000416667
ENSG00000184330.11	low_expression	flat	0.000416667
ENSG00000184881.3	low_expression	flat	0.000416667
ENSG00000185002.9	low_expression	flat	0.000416667
ENSG00000185742.6	low_expression	flat	0.000416667
ENSG00000185958.9	low_expression	flat	0.000416667
ENSG00000186400.3	low_expression	flat	0.000416667
ENSG00000187510.7	low_expression	flat	0.000416667
ENSG00000187553.8	low_expression	flat	0.000416667
ENSG00000187905.10	low_expression	flat	0.000416667
ENSG00000204682.5	low_expression	flat	0.000416667
ENSG00000204963.5	low_expression	flat	0.000416667
ENSG00000205089.7	low_expression	flat	0.000416667
ENSG00000205238.9	low_expression	flat	0.000416667
ENSG00000218823.1	low_expression	flat	0.000416667
ENSG00000221818.8	low_expression	flat	0.000416667
ENSG00000226321.5	low_expression	flat	0.000416667
ENSG00000232040.2	low_expression	flat	0.000416667
ENSG00000254553.1	low_expression	flat	0.000416667
ENSG00000255408.3	low_expression	flat	0.000416667
ENSG00000268009.5	low_expression	flat	0.000416667
ENSG00000269095.1	low_expression	flat	0.000416667
ENSG00000269791.5	low_expression	flat	0.000416667
ENSG00000273217.1	low_expression	flat	0.000416667
ENSG00000276547.1	low_expression	flat	0.000416667
ENSG00000277556.1	low_expression	flat	0.000416667
ENSG00000004848.6	low_expression	flat	0.000833333
ENSG00000006757.11	low_expression	flat	0.000833333
ENSG00000007306.14	low_expression	flat	0.000833333
ENSG00000049283.17	low_expression	flat	0.000833333
ENSG00000060709.13	low_expression	flat	0.000833333
ENSG00000061676.14	low_expression	flat	0.000833333
ENSG00000070985.13	low_expression	flat	0.000833333
ENSG00000077522.12	low_expression	flat	0.000833333
ENSG00000082482.13	low_expression	flat	0.000833333
ENSG00000083067.22	low_expression	flat	0.000833333
ENSG00000100311.16	low_expression	flat	0.000833333
ENSG00000101349.16	low_expression	flat	0.000833333
ENSG00000102466.15	low_expression	flat	0.000833333
ENSG00000111432.4	low_expression	flat	0.000833333
ENSG00000116690.12	low_expression	flat	0.000833333
ENSG00000118094.11	low_expression	flat	0.000833333
ENSG00000119457.7	low_expression	flat	0.000833333
ENSG00000122574.10	low_expression	flat	0.000833333
ENSG00000134765.9	low_expression	flat	0.000833333
ENSG00000136531.13	low_expression	flat	0.000833333
ENSG00000136574.17	low_expression	flat	0.000833333
ENSG00000139767.8	low_expression	flat	0.000833333
ENSG00000144406.18	low_expression	flat	0.000833333
ENSG00000145861.7	low_expression	flat	0.000833333
ENSG00000146352.12	low_expression	flat	0.000833333
ENSG00000147246.9	low_expression	flat	0.000833333
ENSG00000147257.13	low_expression	flat	0.000833333
ENSG00000154736.5	low_expression	flat	0.000833333
ENSG00000155269.11	low_expression	flat	0.000833333
ENSG00000156222.11	low_expression	flat	0.000833333
ENSG00000157654.17	low_expression	flat	0.000833333
ENSG00000158486.13	low_expression	flat	0.000833333
ENSG00000159263.15	low_expression	flat	0.000833333
ENSG00000162006.9	low_expression	flat	0.000833333
ENSG00000162069.14	low_expression	flat	0.000833333
ENSG00000163071.10	low_expression	flat	0.000833333
ENSG00000163285.7	low_expression	flat	0.000833333
ENSG00000165164.12	low_expression	flat	0.000833333
ENSG00000167654.17	low_expression	flat	0.000833333
ENSG00000169744.12	low_expression	flat	0.000833333
ENSG00000170500.12	low_expression	flat	0.000833333
ENSG00000170837.2	low_expression	flat	0.000833333
ENSG00000171189.16	low_expression	flat	0.000833333
ENSG00000172014.12	low_expression	flat	0.000833333
ENSG00000172238.4	low_expression	flat	0.000833333
ENSG00000173376.13	low_expression	flat	0.000833333
ENSG00000173404.4	low_expression	flat	0.000833333
ENSG00000177324.13	low_expression	flat	0.000833333
ENSG00000178021.10	low_expression	flat	0.000833333
ENSG00000179520.10	low_expression	flat	0.000833333
ENSG00000181781.9	low_expression	flat	0.000833333
ENSG00000182168.14	low_expression	flat	0.000833333
ENSG00000183715.13	low_expression	flat	0.000833333
ENSG00000184867.13	low_expression	flat	0.000833333
ENSG00000185610.6	low_expression	flat	0.000833333
ENSG00000186572.2	low_expression	flat	0.000833333
ENSG00000196660.10	low_expression	flat	0.000833333
ENSG00000197241.3	low_expression	flat	0.000833333
ENSG00000197587.10	low_expression	flat	0.000833333
ENSG00000198129.2	low_expression	flat	0.000833333
ENSG00000198569.9	low_expression	flat	0.000833333
ENSG00000204618.8	low_expression	flat	0.000833333
ENSG00000204962.5	low_expression	flat	0.000833333
ENSG00000259288.6	low_expression	flat	0.000833333
ENSG00000264813.6	low_expression	flat	0.000833333
ENSG00000268651.2	low_expression	flat	0.000833333
ENSG00000271079.1	low_expression	flat	0.000833333
ENSG00000278299.4	low_expression	flat	0.000833333
ENSG00000278570.4	low_expression	flat	0.000833333
ENSG00000280127.1	low_expression	flat	0.000833333
ENSG00000280298.1	low_expression	flat	0.000833333
ENSG00000280755.1	low_expression	flat	0.000833333
ENSG00000049540.16	low_expression	flat	0.00125
ENSG00000054598.6	low_expression	flat	0.00125
ENSG00000057149.14	low_expression	flat	0.00125
ENSG00000073598.5	low_expression	flat	0.00125
ENSG00000100593.17	low_expression	flat	0.00125
ENSG00000101327.8	low_expression	flat	0.00125
ENSG00000101890.4	low_expression	flat	0.00125
ENSG00000102837.6	low_expression	flat	0.00125
ENSG00000104368.17	low_expression	flat	0.00125
ENSG00000108950.11	low_expression	flat	0.00125
ENSG00000110975.8	low_expression	flat	0.00125
ENSG00000115112.7	low_expression	flat	0.00125
ENSG00000115616.2	low_expression	flat	0.00125
ENSG00000117501.14	low_expression	flat	0.00125
ENSG00000124233.11	low_expression	flat	0.00125
ENSG00000124429.17	low_expression	flat	0.00125
ENSG00000125872.7	low_expression	flat	0.00125
ENSG00000129951.18	low_expression	flat	0.00125
ENSG00000130226.16	low_expression	flat	0.00125
ENSG00000134917.9	low_expression	flat	0.00125
ENSG00000139287.12	low_expression	flat	0.00125
ENSG00000142619.4	low_expression	flat	0.00125
ENSG00000143184.4	low_expression	flat	0.00125
ENSG00000144015.4	low_expression	flat	0.00125
ENSG00000150594.6	low_expression	flat	0.00125
ENSG00000152672.7	low_expression	flat	0.00125
ENSG00000153930.10	low_expression	flat	0.00125
ENSG00000159251.6	low_expression	flat	0.00125
ENSG00000165072.9	low_expression	flat	0.00125
ENSG00000165084.15	low_expression	flat	0.00125
ENSG00000165192.13	low_expression	flat	0.00125
ENSG00000166250.11	low_expression	flat	0.00125
ENSG00000167195.7	low_expression	flat	0.00125
ENSG00000168505.6	low_expression	flat	0.00125
ENSG00000171540.7	low_expression	flat	0.00125
ENSG00000172367.15	low_expression	flat	0.00125
ENSG00000173320.9	low_expression	flat	0.00125
ENSG00000174521.7	low_expression	flat	0.00125
ENSG00000176177.9	low_expression	flat	0.00125
ENSG00000178055.11	low_expression	flat	0.00125
ENSG00000179284.5	low_expression	flat	0.00125
ENSG00000180251.4	low_expression	flat	0.00125
ENSG00000180611.6	low_expression	flat	0.00125
ENSG00000180929.5	low_expression	flat	0.00125
ENSG00000181291.6	low_expression	flat	0.00125
ENSG00000182732.16	low_expression	flat	0.00125
ENSG00000183098.10	low_expression	flat	0.00125
ENSG00000183185.9	low_expression	flat	0.00125
ENSG00000186297.11	low_expression	flat	0.00125
ENSG00000186684.12	low_expression	flat	0.00125
ENSG00000187783.11	low_expression	flat	0.00125
ENSG00000188219.14	low_expression	flat	0.00125
ENSG00000189056.13	low_expression	flat	0.00125
ENSG00000196353.11	low_expression	flat	0.00125
ENSG00000196862.9	low_expression	flat	0.00125
ENSG00000198597.8	low_expression	flat	0.00125
ENSG00000198851.9	low_expression	flat	0.00125
ENSG00000198914.2	low_expression	flat	0.00125
ENSG00000204022.9	low_expression	flat	0.00125
ENSG00000204278.12	low_expression	flat	0.00125
ENSG00000204952.2	low_expression	flat	0.00125
ENSG00000204969.6	low_expression	flat	0.00125
ENSG00000219435.4	low_expression	flat	0.00125
ENSG00000235376.5	low_expression	flat	0.00125
ENSG00000237412.6	low_expression	flat	0.00125
ENSG00000259753.1	low_expression	flat	0.00125
ENSG00000269113.3	low_expression	flat	0.00125
ENSG00000270168.2	low_expression	flat	0.00125
ENSG00000273547.1	low_expression	flat	0.00125
ENSG00000277865.4	low_expression	flat	0.00125
ENSG00000278566.1	low_expression	flat	0.00125
ENSG00000278704.1	low_expression	flat	0.00125
ENSG00000279510.1	low_expression	flat	0.00125
ENSG00000279921.1	low_expression	flat	0.00125
ENSG00000280893.1	low_expression	flat	0.00125
ENSG00000040731.10	low_expression	flat	0.00166667
ENSG00000054179.11	low_expression	flat	0.00166667
ENSG00000073146.15	low_expression	flat	0.00166667
ENSG00000105996.6	low_expression	flat	0.00166667
ENSG00000112309.10	low_expression	flat	0.00166667
ENSG00000116748.19	low_expression	flat	0.00166667
ENSG00000124134.8	low_expression	flat	0.00166667
ENSG00000136695.14	low_expression	flat	0.00166667
ENSG00000136931.9	low_expression	flat	0.00166667
ENSG00000136944.17	low_expression	flat	0.00166667
ENSG00000138075.11	low_expression	flat	0.00166667
ENSG00000138685.12	low_expression	flat	0.00166667
ENSG00000139549.2	low_expression	flat	0.00166667
ENSG00000139973.15	low_expression	flat	0.00166667
ENSG00000143473.11	low_expression	flat	0.00166667
ENSG00000147596.3	low_expression	flat	0.00166667
ENSG00000148156.7	low_expression	flat	0.00166667
ENSG00000148377.5	low_expression	flat	0.00166667
ENSG00000149534.8	low_expression	flat	0.00166667
ENSG00000155886.11	low_expression	flat	0.00166667
ENSG00000163357.10	low_expression	flat	0.00166667
ENSG00000163492.13	low_expression	flat	0.00166667
ENSG00000163673.6	low_expression	flat	0.00166667
ENSG00000164066.12	low_expression	flat	0.00166667
ENSG00000167580.7	low_expression	flat	0.00166667
ENSG00000167780.11	low_expression	flat	0.00166667
ENSG00000168269.8	low_expression	flat	0.00166667
ENSG00000170624.13	low_expression	flat	0.00166667
ENSG00000174498.13	low_expression	flat	0.00166667
ENSG00000175779.1	low_expression	flat	0.00166667
ENSG00000178053.17	low_expression	flat	0.00166667
ENSG00000179097.5	low_expression	flat	0.00166667
ENSG00000179546.4	low_expression	flat	0.00166667
ENSG00000183421.11	low_expression	flat	0.00166667
ENSG00000184845.3	low_expression	flat	0.00166667
ENSG00000185056.9	low_expression	flat	0.00166667
ENSG00000187134.12	low_expression	flat	0.00166667
ENSG00000188162.10	low_expression	flat	0.00166667
ENSG00000197561.6	low_expression	flat	0.00166667
ENSG00000197565.15	low_expression	flat	0.00166667
ENSG00000205838.12	low_expression	flat	0.00166667
ENSG00000213088.9	low_expression	flat	0.00166667
ENSG00000214402.6	low_expression	flat	0.00166667
ENSG00000215372.6	low_expression	flat	0.00166667
ENSG00000218819.4	low_expression	flat	0.00166667
ENSG00000253313.5	low_expression	flat	0.00166667
ENSG00000260097.2	low_expression	flat	0.00166667
ENSG00000261150.2	low_expression	flat	0.00166667
ENSG00000267909.2	low_expression	flat	0.00166667
ENSG00000269547.1	low_expression	flat	0.00166667
ENSG00000273269.1	low_expression	flat	0.00166667
ENSG00000279084.1	low_expression	flat	0.00166667
ENSG00000279183.1	low_expression	flat	0.00166667
ENSG00000279644.1	low_expression	flat	0.00166667
ENSG00000280778.1	low_expression	flat	0.00166667
ENSG00000007952.17	low_expression	flat	0.00208333
ENSG00000069431.10	low_expression	flat	0.00208333
ENSG00000072657.8	low_expression	flat	0.00208333
ENSG00000092345.13	low_expression	flat	0.00208333
ENSG00000096088.16	low_expression	flat	0.00208333
ENSG00000101463.5	low_expression	flat	0.00208333
ENSG00000103241.6	low_expression	flat	0.00208333
ENSG00000105991.7	low_expression	flat	0.00208333
ENSG00000106536.19	low_expression	flat	0.00208333
ENSG00000112041.12	low_expression	flat	0.00208333
ENSG00000125966.9	low_expression	flat	0.00208333
ENSG00000128655.16	low_expression	flat	0.00208333
ENSG00000133477.16	low_expression	flat	0.00208333
ENSG00000136206.3	low_expression	flat	0.00208333
ENSG00000136842.13	low_expression	flat	0.00208333
ENSG00000140107.10	low_expression	flat	0.00208333
ENSG00000141738.13	low_expression	flat	0.00208333
ENSG00000146373.16	low_expression	flat	0.00208333
ENSG00000147041.11	low_expression	flat	0.00208333
ENSG00000147256.10	low_expression	flat	0.00208333
ENSG00000148600.14	low_expression	flat	0.00208333
ENSG00000152592.13	low_expression	flat	0.00208333
ENSG00000155657.24	low_expression	flat	0.00208333
ENSG00000160505.15	low_expression	flat	0.00208333
ENSG00000164007.10	low_expression	flat	0.00208333
ENSG00000165495.15	low_expression	flat	0.00208333
ENSG00000166415.14	low_expression	flat	0.00208333
ENSG00000168785.7	low_expression	flat	0.00208333
ENSG00000170579.14	low_expression	flat	0.00208333
ENSG00000172478.17	low_expression	flat	0.00208333
ENSG00000172572.6	low_expression	flat	0.00208333
ENSG00000174576.8	low_expression	flat	0.00208333
ENSG00000177570.13	low_expression	flat	0.00208333
ENSG00000178597.5	low_expression	flat	0.00208333
ENSG00000178734.5	low_expression	flat	0.00208333
ENSG00000179270.6	low_expression	flat	0.00208333
ENSG00000184012.11	low_expression	flat	0.00208333
ENSG00000186204.14	low_expression	flat	0.00208333
ENSG00000186714.12	low_expression	flat	0.00208333
ENSG00000187105.8	low_expression	flat	0.00208333
ENSG00000187699.10	low_expression	flat	0.00208333
ENSG00000187715.13	low_expression	flat	0.00208333
ENSG00000188064.9	low_expression	flat	0.00208333
ENSG00000196099.4	low_expression	flat	0.00208333
ENSG00000198765.11	low_expression	flat	0.00208333
ENSG00000203782.5	low_expression	flat	0.00208333
ENSG00000204010.3	low_expression	flat	0.00208333
ENSG00000204616.10	low_expression	flat	0.00208333
ENSG00000205927.4	low_expression	flat	0.00208333
ENSG00000206073.10	low_expression	flat	0.00208333
ENSG00000212993.4	low_expression	flat	0.00208333
ENSG00000232196.3	low_expression	flat	0.00208333
ENSG00000239388.8	low_expression	flat	0.00208333
ENSG00000240654.6	low_expression	flat	0.00208333
ENSG00000255275.3	low_expression	flat	0.00208333
ENSG00000258484.3	low_expression	flat	0.00208333
ENSG00000276747.1	low_expression	flat	0.00208333
ENSG00000280041.1	low_expression	flat	0.00208333
ENSG00000281899.1	low_expression	flat	0.00208333
ENSG00000033122.18	low_expression	flat	0.0025
ENSG00000071909.18	low_expression	flat	0.0025
ENSG00000078725.12	low_expression	flat	0.0025
ENSG00000082556.10	low_expression	flat	0.0025
ENSG00000086570.12	low_expression	flat	0.0025
ENSG00000101842.13	low_expression	flat	0.0025
ENSG00000104941.7	low_expression	flat	0.0025
ENSG00000113212.6	low_expression	flat	0.0025
ENSG00000115008.5	low_expression	flat	0.0025
ENSG00000124003.12	low_expression	flat	0.0025
ENSG00000125695.12	low_expression	flat	0.0025
ENSG00000138100.13	low_expression	flat	0.0025
ENSG00000147873.5	low_expression	flat	0.0025
ENSG00000148541.12	low_expression	flat	0.0025
ENSG00000149292.16	low_expression	flat	0.0025
ENSG00000151617.15	low_expression	flat	0.0025
ENSG00000152591.12	low_expression	flat	0.0025
ENSG00000162631.18	low_expression	flat	0.0025
ENSG00000165182.10	low_expression	flat	0.0025
ENSG00000168481.8	low_expression	flat	0.0025
ENSG00000169218.13	low_expression	flat	0.0025
ENSG00000170054.14	low_expression	flat	0.0025
ENSG00000170955.9	low_expression	flat	0.0025
ENSG00000172594.12	low_expression	flat	0.0025
ENSG00000173237.4	low_expression	flat	0.0025
ENSG00000175318.11	low_expression	flat	0.0025
ENSG00000176381.5	low_expression	flat	0.0025
ENSG00000176697.18	low_expression	flat	0.0025
ENSG00000179148.9	low_expression	flat	0.0025
ENSG00000181378.13	low_expression	flat	0.0025
ENSG00000184611.11	low_expression	flat	0.0025
ENSG00000185303.15	low_expression	flat	0.0025
ENSG00000185559.13	low_expression	flat	0.0025
ENSG00000188488.13	low_expression	flat	0.0025
ENSG00000198570.5	low_expression	flat	0.0025
ENSG00000204941.13	low_expression	flat	0.0025
ENSG00000205177.6	low_expression	flat	0.0025
ENSG00000212658.1	low_expression	flat	0.0025
ENSG00000215343.7	low_expression	flat	0.0025
ENSG00000255346.9	low_expression	flat	0.0025
ENSG00000256029.5	low_expression	flat	0.0025
ENSG00000261456.5	low_expression	flat	0.0025
ENSG00000266997.2	low_expression	flat	0.0025
ENSG00000278057.4	low_expression	flat	0.0025
ENSG00000278938.1	low_expression	flat	0.0025
ENSG00000279018.1	low_expression	flat	0.0025
ENSG00000280141.1	low_expression	flat	0.0025
ENSG00000003096.13	low_expression	flat	0.00291667
ENSG00000036473.6	low_expression	flat	0.00291667
ENSG00000078898.6	low_expression	flat	0.00291667
ENSG00000096696.13	low_expression	flat	0.00291667
ENSG00000100234.11	low_expression	flat	0.00291667
ENSG00000100285.9	low_expression	flat	0.00291667
ENSG00000118298.10	low_expression	flat	0.00291667
ENSG00000122728.6	low_expression	flat	0.00291667
ENSG00000124232.10	low_expression	flat	0.00291667
ENSG00000134160.13	low_expression	flat	0.00291667
